raw_taxa,raw_EOO,raw_AOO,raw_Nbe_unique_occ.,raw_Nbe_subPop,raw_Nbe_loc,raw_Category_CriteriaB,raw_Category_code,raw_Category_AOO,raw_Category_EOO,filtered_EOO,filtered_AOO,filtered_Nbe_unique_occ.,filtered_Nbe_subPop,filtered_Nbe_loc,filtered_Category_CriteriaB,filtered_Category_code,filtered_Category_AOO,filtered_Category_EOO
Bombax albidum,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,8,2,2,2,EN,EN B2a,EN,NA
Bombax anceps,956403,20,5,5,5,EN,EN B2a,EN,LC or NT,NA,8,2,2,2,EN,EN B2a,EN,NA
Bombax brevicuspe,1533925,200,53,39,44,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT,1447570,148,40,31,35,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT
Bombax buonopozense,9503900,588,180,112,132,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT,4795691,404,123,79,94,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT
Bombax ceiba,85263961,2084,733,250,381,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT,72946074,1352,447,163,247,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT
Bombax costatum,3030980,3380,1337,311,524,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT,2825049,2908,1202,242,439,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT
Bombax insigne,1482999,16,4,4,4,EN,EN B2a,EN,LC or NT,NA,8,2,2,2,EN,EN B2a,EN,NA
Bombax lukayense,136213,36,10,8,8,VU,VU B2a,VU,LC or NT,128485,24,6,6,6,VU,VU B2a,VU,LC or NT
Bombax rhodognaphalon,1420176,208,55,42,46,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT,629523,144,39,31,35,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT
Pseudobombax argentinum,NA,4,2,2,2,EN,EN B2a,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax calcareum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax calcicola,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax campestre,NA,4,2,2,2,EN,EN B2a,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax crassipes,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax croizatii,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax ellipticum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax grandiflorum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax longiflorum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax majus,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax marginatum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax minimum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax munguba,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax parvifolium,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax petropolitanum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax septenatum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax simplicifolium,223405,12,3,3,3,EN,EN B2a,EN,LC or NT,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobombax tomentosum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
